id,name,price,name_hash,price_hash
0,Банка-дозатор 120 мл,100.0,e6ac9b9ecb59fe82742f7639a447f4ed,62dca49f0781bf26b4305bddb0414bea
1,Банка-спрей 120 мл,100.0,f475893c6657f3275f23ccc43ccc991f,62dca49f0781bf26b4305bddb0414bea
2,Контейнер для крема 15мл 2шт.,80.0,af50bb5f87e5fe09f9fed232907ebc87,8ee5d21b272d43a875504f3e5845e141
3,Косметический флакон 100мл MG-7262,150.0,f94de80d9ec73af3381784221acfec30,e77f848ebbae19a99eee74e4d5246ce5
4,Косметический флакон 30мл MG-7260,50.0,60e47e47991ac66fbf35c0eef7350fdc,88bce6f1bd04b8521f1167b5a6dec118
5,Мерная ложка 3 шт.,30.0,a77da1ebea49f606131eeb94f756d5ad,5ba1de412e01037f8843d097dcfaf28a
6,"Мерная чаша с ложкой, 5-25 мл",50.0,a6cec3a6a6d909eb8b99355038090f63,88bce6f1bd04b8521f1167b5a6dec118
7,яяяБанка-дозатор 50 мл,50.0,0abf0bf91c339605a3d2f52a1bb286b3,88bce6f1bd04b8521f1167b5a6dec118
8,яяяКонтейнер для крема 30мл 2шт.,100.0,18c002a7c52087993669286f578a9bea,62dca49f0781bf26b4305bddb0414bea
9,Кисть + ложка,200.0,4ea92a2e12d947595403e997079618d2,bcddc23e127b38859d98f371d3817273
10,Кисть №14 деревянная ручка (15 см),100.0,fd6e654fdb01f1ab0d636ce665559d8a,62dca49f0781bf26b4305bddb0414bea
11,Кисть №400 пластик большая,100.0,0df764fd8fd73b3beea30b0852d3ee21,62dca49f0781bf26b4305bddb0414bea
12,Кисть для масок №17,100.0,48df2369f72cbbcb6bddc4c911a65129,62dca49f0781bf26b4305bddb0414bea
13,Кисть для масок прозрачная ручка (15см),100.0,01eb2051e970b3ae1b8d643606c995f9,62dca49f0781bf26b4305bddb0414bea
14,Кисть для пилинга веерная прозрачная ручка  (18 см),220.0,8673834e65e57b9dffd251775786f8aa,2d22f62e9e38119403851fbf17cb26b1
15,Кисть для пилинга веерная Цветной ворс ч/р №811,120.0,b7b61d6d394b7054a0dc4f3d325120d9,e7878d629de5cac1cabb3ab4b8fd9a42
16,Кисть для пилинга малая (18 см),170.0,7bfc0d46c02fcf3860a9124bd2cc6056,a0c4b1cdc3496504a5c6bd1d70a8c092
17,Кисть прозрачная ручка,220.0,a72ca6acb6b5bf463b2220575e5379bd,2d22f62e9e38119403851fbf17cb26b1
18,яяяКисти набор*НЕ ДЛЯ ПРОДАЖИ,0.0,8350f687f699611636292869f23f33b7,30565a8911a6bb487e3745c0ea3c8224
19,яяяКисть для пилинга веерная (15 см),120.0,028198ccb0cf2773d9926d05122b6be6,e7878d629de5cac1cabb3ab4b8fd9a42
20,Маска Марлевая одноразовая с воротом (100 шт),800.0,bc72715835d092ca6c9b75e1a7d785bb,9265bef4e6120ca390b3943df5d7879a
21,Маска Таблетированная 10 шт (Белая ),110.0,d08dbe00dfdfe7b0f899ab9539ad37d0,169f2181865a3d628f2d0b1e083d4a3a
